店铺名称,价格,评价星级,口味,环境,服务,评论数,评论标签,图片评论数,好评数,中评数,差评数,店铺地址
渝味晓宇火锅(苏州中心店),122.0,4.0,7.8,8.1,7.8,1287.0,"菜品健康(91),不用排队(53),上菜快(27),回头客(26),朋友聚餐(18),闺蜜聚会(9),年会(9),到店自提(8),公司聚餐(4),店内消毒(1)",668.0,885.0,195.0,207.0,地址:星街苏心区L5层
古乐牛香牛肉 牛杂火锅(观前街店),68.0,5.0,9.1,8.9,9.0,4836.0,"回头客(245),上菜快(116),不用排队(99),发发呆(24),到店自提(173),朋友聚餐(91),闺蜜聚会(45),请客(22),店内消毒(9),可带宠物(3)",3301.0,4402.0,266.0,168.0,地址:邵磨针巷80-82
谭鸭血老火锅(绿宝店),111.0,4.5,8.8,9.0,8.8,1450.0,"菜品健康(143),回头客(37),停车方便(31),上菜快(31),不用排队(25),朋友聚餐(33),到店自提(18),闺蜜聚会(12),请客(11),现做现卖(9)",1138.0,1272.0,132.0,46.0,地址:江绿宝休闲购物场绿宝二期步行5幢101
海汕牛香(iD PARK 歌林公园店),99.0,4.0,8.4,8.4,8.1,67.0,"服务热情(23),环境很好(23),味道赞(13),牛肉赞(12),性价比高(12),菜品健康(7),不用排队(5),上菜快(5),到店自提(2)",60.0,60.0,5.0,2.0,地址:鹅荡1-1iD PARK 歌公H522
旺府火锅(斜塘老街店),115.0,4.5,8.7,8.9,8.7,2853.0,"菜品健康(262),停车方便(84),回头客(84),不用排队(43),有表演(10),夜景赞(7),朋友聚餐(51),到店自提(13),下午茶(3),店内消毒(1)",1199.0,2493.0,240.0,120.0,地址:灯火巷斜塘老53幢402室
蜀大侠火锅(悠方店),126.0,5.0,9.1,9.2,9.0,814.0,"菜品健康(84),回头客(37),上菜快(18),不用排队(15),有表演(7),夜景赞(3),朋友聚餐(16),到店自提(6),闺蜜聚会(4),店内消毒(1)",542.0,713.0,55.0,46.0,地址:金枫悠方购物5楼509
一绪に寿喜烧(昆山金鹰店),164.0,4.5,8.8,8.8,8.8,195.0,"菜品健康(20),海鲜棒(20),牛肉赞(16),上菜快(6),高大上(5),饮品赞(5),不用排队(3),回头客(3),闺蜜聚会(3)",169.0,164.0,24.0,6.0,地址:鹰国际购物7楼
一楽独食火锅(常客隆城市广场店),59.0,5.0,9.2,9.2,9.2,158.0,"味道赞(34),服务热情(30),菜品健康(23),牛肉赞(8),回头客(4),海鲜棒(3),饮品赞(3),朋友聚餐(7)",116.0,150.0,7.0,0.0,地址:海虞路55（客市场一点点奶茶往里20米）
电台巷火锅(苏州中心旗舰店),113.0,4.5,8.6,8.7,8.7,5902.0,"不用排队(307),上菜快(207),回头客(113),撸串圣地(113),朋友聚餐(120),闺蜜聚会(73),店内消毒(39),年会(38),到店自提(36),下午茶(5)",4654.0,4901.0,698.0,302.0,地址:绣与星港叉口州中星悦汇3楼314
豆捞坊·胶原花胶火锅(太仓店),144.0,5.0,9.1,9.1,9.1,6418.0,"回头客(405),菜品健康(387),停车方便(56),不用排队(19),夜景赞(4),到店自提(17),朋友聚餐(32),家庭聚餐(16),请客(12)",647.0,5446.0,809.0,163.0,地址:浏河风情水街运堤B4
